,IMDb Score,Netflix Link,IMDb Link,Poster,TMDb Trailer,IMDb id
12,7.7,https://www.netflix.com/watch/81382106,https://www.imdb.com/title/tt0477437,https://m.media-amazon.com/images/M/MV5BZjNlNDg2NjAtNWE4Yi00MWE3LTk1MTEtN2Q1N2E4MDhjOTFhXkEyXkFqcGdeQXVyMDA1MjcxOA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=J_lEK2qPU04,tt0477437
16,8.1,https://www.netflix.com/watch/60020365,https://www.imdb.com/title/tt0117905,https://m.media-amazon.com/images/M/MV5BZjg5MTI1ZDktZTRjYS00MGEyLTkzYjEtMGFjNGViYTNlYjM1XkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=cfGxoeM3WTE,tt0117905
17,7.0,https://www.netflix.com/watch/81405032,https://www.imdb.com/title/tt0243493,https://m.media-amazon.com/images/M/MV5BMGRmNzFhNWEtYTgxZS00Y2Q2LTg0MjAtMTdlYTFjNjUyMDRhXkEyXkFqcGdeQXVyMjc2NTQ1MTI@._V1_SX300.jpg,https://www.youtube.com/watch?v=ou9YG0fUztA,tt0243493
18,6.2,https://www.netflix.com/watch/70023084,https://www.imdb.com/title/tt0050251,https://m.media-amazon.com/images/M/MV5BYzAzZDlhY2EtNzJhYS00OTdmLTgwOGUtMDM5MDcwMzAzYmU5XkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,https://www.youtube.com/watch?v=3aCoSub1Ch0,tt0050251
19,7.7,https://www.netflix.com/watch/81402063,https://www.imdb.com/title/tt0043801,https://m.media-amazon.com/images/M/MV5BMjhmOWJiMWMtOTE2YS00MDQyLWI0NzEtNDg2NjBkMGM1YjZhXkEyXkFqcGdeQXVyMTk3NTc0MTk@._V1_SX300.jpg,https://www.youtube.com/watch?v=9hpkFBOnfsE,tt0043801
20,7.2,https://www.netflix.com/watch/70064321,https://www.imdb.com/title/tt0809535,https://m.media-amazon.com/images/M/MV5BN2QxMTFjOTMtMTk2NS00ZTU0LWI4MjMtM2QxOWZjNTY5Njg1XkEyXkFqcGdeQXVyMzQ5NjAxMzA@._V1_SX300.jpg,https://www.youtube.com/watch?v=CZXzgt6NkhE,tt0809535
21,8.1,https://www.netflix.com/watch/70063286,https://www.imdb.com/title/tt0054144,https://m.media-amazon.com/images/M/MV5BZTk0ZTZjY2MtYTdhZi00OWQxLWJkMWUtMzk4ZTNkOTBiMThhXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=ooW3aSKfsVA,tt0054144
22,8.1,https://www.netflix.com/watch/81402109,https://www.imdb.com/title/tt0058349,https://m.media-amazon.com/images/M/MV5BZWMzMDc4ZjEtMThhOS00OWJmLWExZTEtOGZiZjkyODczN2JjXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,https://www.youtube.com/watch?v=22O_q-ux5Tw,tt0058349
23,6.9,https://www.netflix.com/watch/81402115,https://www.imdb.com/title/tt0043587,https://m.media-amazon.com/images/M/MV5BYmQ1ZjNhZjEtMzlmZC00ODgxLWIzZjYtNGM4MTdmNzIyNzgxXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,https://www.youtube.com/watch?v=ztSZJD44R0w,tt0043587
24,7.7,https://www.netflix.com/watch/81402076,https://www.imdb.com/title/tt0048757,https://m.media-amazon.com/images/M/MV5BYzU2NzFkYTItNTA3YS00M2RmLTg4ZDAtNTFiYTUyMmRjNTIzXkEyXkFqcGdeQXVyMzY2MDk0MTk@._V1_SX300.jpg,https://www.youtube.com/watch?v=OWEgUhWU4g4,tt0048757
25,7.2,https://www.netflix.com/watch/81383131,https://www.imdb.com/title/tt12530960,https://m.media-amazon.com/images/M/MV5BZjYwNTMwY2YtN2Q0Zi00ZTExLWIxMmUtYmYyZDJkM2M4OGYyXkEyXkFqcGdeQXVyNjE4OTY3NTg@._V1_SX300.jpg,https://www.youtube.com/watch?v=4qng-GxF9rE,tt12530960
26,6.9,https://www.netflix.com/watch/81088152,https://www.imdb.com/title/tt3263946,https://m.media-amazon.com/images/M/MV5BNTJkYTIwOTAtYjc4Yy00OTZkLThhM2EtZDFlNTJmMmY2NzgyXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=rrq6SOwyr5s,tt3263946
27,8.6,https://www.netflix.com/watch/81351808,https://www.imdb.com/title/tt1809071,,https://www.youtube.com/watch?v=u2QMcYQAKIQ,tt1809071
28,7.0,https://www.netflix.com/watch/81176692,https://www.imdb.com/title/tt7169514,https://m.media-amazon.com/images/M/MV5BYTMwZTg3MjQtMDhiMC00NTY5LTk1ODYtMzIzODk4ZTlkYzkyXkEyXkFqcGdeQXVyMjE4NzUxNDA@._V1_SX300.jpg,https://www.youtube.com/watch?v=TmBcSoz86vA,tt7169514
31,7.4,https://www.netflix.com/watch/70012338,https://www.imdb.com/title/tt0098596,https://m.media-amazon.com/images/M/MV5BZjRkNWIwNjAtYTBiZC00ZmVlLWFmY2EtYjYyZGVjOTY4YTBkXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,https://www.youtube.com/watch?v=aWJX8S5VFYg,tt0098596
32,7.1,https://www.netflix.com/watch/70012337,https://www.imdb.com/title/tt0072053,https://m.media-amazon.com/images/M/MV5BOWNhZDE4MGItYjAxZS00OTAwLTlmOGUtYTg4MjcyYzIyYWE2XkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,https://www.youtube.com/playlist?list=PLJK7UAoXJAjoYFd10BeTUEW-JeKjeecaY,tt0072053
33,7.5,https://www.netflix.com/watch/60020483,https://www.imdb.com/title/tt0082206,https://m.media-amazon.com/images/M/MV5BMDA3NGQ3Y2YtMzNlZi00MzIwLWJjNzItNWVlY2JhZmViMTAxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,https://www.youtube.com/watch?v=LFJuojgVSAk,tt0082206
34,6.5,https://www.netflix.com/watch/81092223,https://www.imdb.com/title/tt6256978,https://m.media-amazon.com/images/M/MV5BMTAyODY3NzcxNjdeQTJeQWpwZ15BbWU4MDg2MzU1Njcz._V1_SX300.jpg,https://www.youtube.com/watch?v=FhyaYaK9lC4,tt6256978
37,6.6,https://www.netflix.com/watch/81388039,https://www.imdb.com/title/tt6479534,https://m.media-amazon.com/images/M/MV5BMDVkYzA1NzAtMGY2ZC00MzU0LWFjYmQtNjY1NWRhODM2YjczXkEyXkFqcGdeQXVyNDcyMjQ4MzU@._V1_SX300.jpg,https://www.youtube.com/watch?v=gFJS8M2SjWo,tt6479534
38,6.9,https://www.netflix.com/watch/81389593,https://www.imdb.com/title/tt9520176,https://m.media-amazon.com/images/M/MV5BMGVhNWQ3NDAtZWFjYy00NGZkLTljZTEtOGJjZmMxZWFkYjNlXkEyXkFqcGdeQXVyMjkyMDI4NTQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=H40fV_Y08W4,tt9520176
39,7.7,https://www.netflix.com/watch/81388042,https://www.imdb.com/title/tt0081283,https://m.media-amazon.com/images/M/MV5BNWU3MDFkYWQtMWQ5YS00YTcwLThmNDItODY4OWE2ZTdhZmIwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,https://www.youtube.com/watch?v=BdjlLq1tqmU,tt0081283
40,7.5,https://www.netflix.com/watch/80084094,https://www.imdb.com/title/tt4957446,https://m.media-amazon.com/images/M/MV5BMjMwMDc4OTA2NV5BMl5BanBnXkFtZTgwNTMwOTA1ODE@._V1_SX300.jpg,https://www.youtube.com/watch?v=yfKZFJSYMK8,tt4957446
41,7.2,https://www.netflix.com/watch/80212934,https://www.imdb.com/title/tt5061360,https://m.media-amazon.com/images/M/MV5BZTJmNDk5YzQtMDJhOS00MjhkLThiMjctNWQ2NGY1NjI2OGM1XkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,https://www.youtube.com/watch?v=3M45iQnJUm0,tt5061360
42,6.7,https://www.netflix.com/watch/80172967,https://www.imdb.com/title/tt4986134,https://m.media-amazon.com/images/M/MV5BMTUyMDQ2ODI0M15BMl5BanBnXkFtZTgwMDY0NDYxMzI@._V1_SX300.jpg,https://www.youtube.com/watch?v=hjt3J9mM7aE,tt4986134
43,8.0,https://www.netflix.com/watch/81388058,https://www.imdb.com/title/tt0376968,https://m.media-amazon.com/images/M/MV5BYmViZTY1OWEtMTQxMy00OGQ5LTgzZjAtYTQzOTYxNjliYTI4XkEyXkFqcGdeQXVyNjkxOTM4ODY@._V1_SX300.jpg,https://www.youtube.com/watch?v=qNR4ER9tC6A,tt0376968
44,6.7,https://www.netflix.com/watch/81406051,https://www.imdb.com/title/tt0068126,https://m.media-amazon.com/images/M/MV5BMTc3MDM1MTExNV5BMl5BanBnXkFtZTcwOTM1Mzg0MQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=MzCoEtCo2rg,tt0068126
45,4.8,https://www.netflix.com/watch/81406069,https://www.imdb.com/title/tt6294226,https://m.media-amazon.com/images/M/MV5BMmE0NTY5YmItYjY1ZC00MWQ3LTg4NDItNzEyMjhhYjFhNGY5XkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=QeEgib0FZbI,tt6294226
46,8.1,https://www.netflix.com/watch/80995482,https://www.imdb.com/title/tt0092005,https://m.media-amazon.com/images/M/MV5BODJmY2Y2OGQtMDg2My00N2Q3LWJmZTUtYTc2ODBjZDVlNDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=KCxBHM17y-4,tt0092005
47,6.2,https://www.netflix.com/watch/80190929,https://www.imdb.com/title/tt5208216,https://m.media-amazon.com/images/M/MV5BMjM3NjY0MTYwM15BMl5BanBnXkFtZTgwMDI5NzA2MzI@._V1_SX300.jpg,https://www.youtube.com/watch?v=o1vV0oorclg,tt5208216
48,7.5,https://www.netflix.com/watch/80239962,https://www.imdb.com/title/tt6985200,https://m.media-amazon.com/images/M/MV5BZmNhOGZlMmQtZjk5MC00MTBiLWI0MzktOWI1NGRiNmJhYzk5XkEyXkFqcGdeQXVyNDIzMTI4NDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=OlmeTbRBIkE,tt6985200
49,7.0,https://www.netflix.com/watch/81283663,https://www.imdb.com/title/tt0363532,https://m.media-amazon.com/images/M/MV5BMTI1MzczNDM1NV5BMl5BanBnXkFtZTcwMTUyMzYyMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=34YVqhsyDzA,tt0363532
50,6.9,https://www.netflix.com/watch/81406045,https://www.imdb.com/title/tt10633676,https://m.media-amazon.com/images/M/MV5BNWEyMjIzZjAtOGMxOC00YjlmLTk1ODctYTY0MDQyODExY2NhXkEyXkFqcGdeQXVyNzEyMDQ1MDA@._V1_SX300.jpg,https://www.youtube.com/watch?v=vyUJd5UyVoo,tt10633676
51,6.8,https://www.netflix.com/watch/81389603,https://www.imdb.com/title/tt6150050,https://m.media-amazon.com/images/M/MV5BYzg4MmFmYzItNGMzYy00Zjg2LWFjMTgtMDMyNzllOWY5NWY4XkEyXkFqcGdeQXVyMzMwNTc3OTg@._V1_SX300.jpg,https://www.youtube.com/watch?v=EsDdGQhdkQM,tt6150050
52,6.3,https://www.netflix.com/watch/80992149,https://www.imdb.com/title/tt8119752,https://m.media-amazon.com/images/M/MV5BNDZiMjdkOTMtNDJiOS00YjdmLWFmMTUtMGNkNDk3ZWJkNzEwXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_SX300.jpg,https://www.youtube.com/watch?v=BQAt3VAKCfM,tt8119752
53,7.1,https://www.netflix.com/watch/80242473,https://www.imdb.com/title/tt1413529,https://m.media-amazon.com/images/M/MV5BODA0MzRlYTctYmViYi00OTA5LWFmZDktZjU5NDEwNzJiNDgzXkEyXkFqcGdeQXVyNDE2NjE1Njc@._V1_SX300.jpg,https://www.youtube.com/watch?v=gwNVJHETGvI,tt1413529
54,7.1,https://www.netflix.com/watch/81168885,https://www.imdb.com/title/tt9541602,https://m.media-amazon.com/images/M/MV5BMWE2ZmI5NjEtMzQ5Zi00Zjk4LWFiODItOTRkNjMwYTY1YWNlXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,https://www.youtube.com/watch?v=HB2e_6D7SDI,tt9541602
55,6.6,https://www.netflix.com/watch/81280962,https://www.imdb.com/title/tt7233726,https://m.media-amazon.com/images/M/MV5BOWExYzliNjYtMmVhYi00NTdmLWE1OGItZTNmYTY2YzZmNzNhXkEyXkFqcGdeQXVyODA4ODIwNDM@._V1_SX300.jpg,https://www.youtube.com/watch?v=u7R3zjLXSp4,tt7233726
56,6.7,https://www.netflix.com/watch/81406048,https://www.imdb.com/title/tt0034513,https://m.media-amazon.com/images/M/MV5BZjVjYTE1ODUtYTI4Ny00NDViLWJhMTctYTVlYTU0NDAwODhlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=ays4pgVr7Go,tt0034513
57,7.9,https://www.netflix.com/watch/81389605,https://www.imdb.com/title/tt0162065,https://m.media-amazon.com/images/M/MV5BODU0M2NjZjgtZmQ1Zi00OWIyLTg1ODctMTg4Njg0MmE5YzU4XkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_SX300.jpg,https://www.youtube.com/watch?v=u9ioVD15feE,tt0162065
58,6.5,https://www.netflix.com/watch/81388028,https://www.imdb.com/title/tt7022500,https://m.media-amazon.com/images/M/MV5BYjBkYzM1MmYtNGQ1Ny00OTcyLWI5YWEtZTRkN2MwODg1MDM2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=9xHWrdxZQa0,tt7022500
59,5.5,https://www.netflix.com/watch/80997107,https://www.imdb.com/title/tt5143226,https://m.media-amazon.com/images/M/MV5BOWM5ZWFmZTItMGVhMC00MGQwLTgzYzktOTIxMGY4YWVkZjYxXkEyXkFqcGdeQXVyMzk3OTY0OA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=jxL67tUPt7Q,tt5143226
60,7.8,https://www.netflix.com/watch/80231471,https://www.imdb.com/title/tt6493286,https://m.media-amazon.com/images/M/MV5BYzUyMzA5NDktODUzOS00YWE5LWFjYTEtYjA3MDY0ZTM0NmQwXkEyXkFqcGdeQXVyNTQ0NTUxOTA@._V1_SX300.jpg,https://www.youtube.com/watch?v=eTzBIH51Irc,tt6493286
61,6.5,https://www.netflix.com/watch/81144153,https://www.imdb.com/title/tt3631112,https://m.media-amazon.com/images/M/MV5BNzFlMjA0ZmUtZWI0Mi00ZGJkLTlmMmYtZmE1ODZiMjhjMGM0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=-CKPj4O5_9s,tt3631112
62,6.8,https://www.netflix.com/watch/81253737,https://www.imdb.com/title/tt9193612,https://m.media-amazon.com/images/M/MV5BMWE0NjdiMTAtMzY3My00NzUxLTljMDMtNmYxNmRiYmQxZmM0XkEyXkFqcGdeQXVyNDQxNjcxNQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=Cl1AI-3zcnk,tt9193612
63,7.4,https://www.netflix.com/watch/81405121,https://www.imdb.com/title/tt9409448,https://m.media-amazon.com/images/M/MV5BYzEyYjgxOWQtYzhiOC00YmE5LTgyNDMtY2JiYTE1NzQyN2U3XkEyXkFqcGdeQXVyNjkxMDk5NjM@._V1_SX300.jpg,https://www.youtube.com/watch?v=N3IvTCh24xU,tt9409448
64,7.6,https://www.netflix.com/watch/81405120,https://www.imdb.com/title/tt8649438,https://m.media-amazon.com/images/M/MV5BYTAxNWM5M2YtYmQ5NC00ZWFlLTg5ZDAtMWU2NDVhZjliYWEyXkEyXkFqcGdeQXVyMjU1MjMyNTY@._V1_SX300.jpg,https://www.youtube.com/watch?v=J2sxF5Ul5zg,tt8649438
65,8.0,https://www.netflix.com/watch/81361117,https://www.imdb.com/title/tt3429402,,https://www.youtube.com/watch?v=rhxXS5TNEww,tt3429402
66,4.7,https://www.netflix.com/watch/81287521,https://www.imdb.com/title/tt6199572,https://m.media-amazon.com/images/M/MV5BZTVmMDU3MjctMmUxNi00NzI3LWI1NGMtMmY5MjE0MGVlMzAwXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,https://www.youtube.com/watch?v=LHYlKQSc7rA,tt6199572
69,5.5,https://www.netflix.com/watch/81383188,https://www.imdb.com/title/tt5688068,https://m.media-amazon.com/images/M/MV5BOGZlMTUzYmEtODI4Ni00NjhkLTg3ODctYjVhZGQxYTY1MzIwXkEyXkFqcGdeQXVyMjIzMDM3NjU@._V1_SX300.jpg,https://www.youtube.com/watch?v=6JNIyuZJjdQ,tt5688068
70,6.3,https://www.netflix.com/watch/81318865,https://www.imdb.com/title/tt7698468,https://m.media-amazon.com/images/M/MV5BMTk2ZjJiZTItYTJiOC00YmIyLWI2MmYtZWJkZGMzNDE4NjU1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=TbZgLKjrdnA,tt7698468
71,7.0,https://www.netflix.com/watch/81408627,https://www.imdb.com/title/tt1245526,https://m.media-amazon.com/images/M/MV5BMzg2Mjg1OTk0NF5BMl5BanBnXkFtZTcwMjQ4MTA3Mw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=-JZ_moituIo,tt1245526
72,7.0,https://www.netflix.com/watch/81406333,https://www.imdb.com/title/tt11994750,https://m.media-amazon.com/images/M/MV5BYTFiMGViMzctZmM5OS00ZGQxLWE2MjQtNTU5YzY2Y2MxYWRhXkEyXkFqcGdeQXVyMDk2NDg2OA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=zlDJN0Iqpno,tt11994750
74,7.4,https://www.netflix.com/watch/81351501,https://www.imdb.com/title/tt12899858,https://m.media-amazon.com/images/M/MV5BNmU1MTllYjUtZGFhYS00NTNhLWIwZGYtMWZiZmYwNDdlMDJiXkEyXkFqcGdeQXVyMTIwMzA3NDcx._V1_SX300.jpg,https://www.youtube.com/watch?v=42Eh3xZvLcY,tt12899858
76,7.6,https://www.netflix.com/watch/81287052,https://www.imdb.com/title/tt11394298,https://m.media-amazon.com/images/M/MV5BYWI1MGQ3ZDktZmNhYi00MzY4LWFkMTQtZTA2YTgzYWViM2ZjXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_SX300.jpg,https://www.youtube.com/watch?v=5Z1hPH3b5RA,tt11394298
77,7.3,https://www.netflix.com/watch/81392326,https://www.imdb.com/title/tt0460655,https://m.media-amazon.com/images/M/MV5BMTUzNjMxNzIxN15BMl5BanBnXkFtZTcwODM3MTczMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=1htuNZp82Ck,tt0460655
78,6.6,https://www.netflix.com/watch/81350429,https://www.imdb.com/title/tt9893250,https://m.media-amazon.com/images/M/MV5BYWU2ZTRhNDMtMWYxMC00ZTVkLThjZmItZGY4MGU0YmZlMjJlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=D40uHmTSPew,tt9893250
79,6.6,https://www.netflix.com/watch/80240857,https://www.imdb.com/title/tt5314450,https://m.media-amazon.com/images/M/MV5BMTlhNzVmNTktMDRjZi00MTllLWFlNmEtZDhlNmI0MTQxZTU3XkEyXkFqcGdeQXVyOTIxNTAyMzU@._V1_SX300.jpg,https://www.youtube.com/watch?v=SATynwll5fE,tt5314450
80,8.4,https://www.netflix.com/watch/81214045,https://www.imdb.com/title/tt10706602,https://m.media-amazon.com/images/M/MV5BNDc5MTA2ZjgtOWU4OC00YjU4LTk3ZGUtYmMwZjRhODJiYTdiXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_SX300.jpg,https://www.youtube.com/watch?v=Q-NaUTg45I4,tt10706602
81,6.1,https://www.netflix.com/watch/81365135,https://www.imdb.com/title/tt3774694,https://m.media-amazon.com/images/M/MV5BMTQzNDUwODk5NF5BMl5BanBnXkFtZTgwNzA0MDQ2NTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=EDzuG0UrQ2g,tt3774694
83,7.4,https://www.netflix.com/watch/81354909,https://www.imdb.com/title/tt9343754,https://m.media-amazon.com/images/M/MV5BMzIzZDg4YzAtMzNiMS00ZGVjLTljNDQtZDAzZDYzYWIzMmIyXkEyXkFqcGdeQXVyMzQ5Njc3NzU@._V1_SX300.jpg,https://www.youtube.com/watch?v=EW3Em8VT3CM,tt9343754
84,5.6,https://www.netflix.com/watch/81404298,https://www.imdb.com/title/tt7521860,https://m.media-amazon.com/images/M/MV5BZTYzMzVhNGEtMjI1Ny00NDRkLThlNjEtMjI0MWRhMGUzZmZkXkEyXkFqcGdeQXVyNjc2NTg2NzM@._V1_SX300.jpg,https://www.youtube.com/watch?v=urO4uA6Bf9M,tt7521860
85,7.0,https://www.netflix.com/watch/81041701,https://www.imdb.com/title/tt8265928,https://m.media-amazon.com/images/M/MV5BNmQ3NjdkMDQtNmM1Zi00MjI0LTk4ZTMtYTdjYjI1Y2Q4NGVlXkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=eiErZ1UD_PY,tt8265928
86,7.8,https://www.netflix.com/watch/81404282,https://www.imdb.com/title/tt0198811,https://m.media-amazon.com/images/M/MV5BNmY0NDcwZWEtMGNkOC00MmZkLWI2ZDItY2U4YThkMzg5Yzk5XkEyXkFqcGdeQXVyNDE4OTY5NzI@._V1_SX300.jpg,https://www.youtube.com/watch?v=x7pfDvCcrYY,tt0198811
87,7.0,https://www.netflix.com/watch/81404292,https://www.imdb.com/title/tt7491144,https://m.media-amazon.com/images/M/MV5BY2MyN2Y2ZTctODlmZC00ZDc1LThiOTgtNWYyZDRiMDhiOWY1XkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=cyGC0W8PfoI,tt7491144
88,7.7,https://www.netflix.com/watch/81172208,https://www.imdb.com/title/tt8649186,https://m.media-amazon.com/images/M/MV5BNTBlYzYwODQtNTE3My00ZDMwLWE1N2MtM2FjNWJiNDZkYTlkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=0dnOJnJVjyk,tt8649186
89,6.1,https://www.netflix.com/watch/952839,https://www.imdb.com/title/tt0111143,https://m.media-amazon.com/images/M/MV5BYWM3Y2FiN2QtZjhlYS00MzU5LWJmNDgtNzAyOWZlNWM1MDEyXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,https://www.youtube.com/watch?v=8LYIcXs4HV0,tt0111143
91,6.9,https://www.netflix.com/watch/70254953,https://www.imdb.com/title/tt0465556,https://m.media-amazon.com/images/M/MV5BMjA2NjM0MTIyNl5BMl5BanBnXkFtZTcwNTA5MDg5MQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=BGyieGVn4P4,tt0465556
92,5.7,https://www.netflix.com/watch/70254951,https://www.imdb.com/title/tt4581576,https://m.media-amazon.com/images/M/MV5BMWFkYmM2ZTctNmZjZi00MWQwLWI0MjctZDdiNjJlMTlmNzdkL2ltYWdlXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,https://www.youtube.com/watch?v=oUXUm6he2-s,tt4581576
93,6.2,https://www.netflix.com/watch/60031985,https://www.imdb.com/title/tt0319020,https://m.media-amazon.com/images/M/MV5BOGNiZDYxYWUtZGQ1MS00YmFjLWE2MTQtMzUzODAwYTE3NGZjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,https://www.youtube.com/watch?v=pgRnm9T9Ssg,tt0319020
