,budget,genres,id,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average
37,200000000,"['fantasy', 'adventure', 'family']",68728,en,Oz: The Great and Powerful,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",46.985445,"['walt_disney_pictures', 'roth_films']",['us'],2013-03-07,491868548,130.0,['en'],Oz: The Great and Powerful,5.7
38,200000000,"['action', 'adventure', 'fantasy']",102382,en,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",89.270217,"['columbia_pictures', 'marvel_enterprises', 'avi_arad_productions', 'matt_tolmach_productions']",['us'],2014-04-16,705717432,142.0,['en'],The Amazing Spider-Man 2,6.5
39,170000000,"['adventure', 'action', 'science_fiction']",20526,en,TRON: Legacy,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",73.79505,"['walt_disney_pictures', 'liveplanet', 'prana_studios', 'sean_bailey_productions', 'revolution_sun_studios', 'kontsept_film_company']",['us'],2010-12-10,400062763,125.0,['en'],TRON: Legacy,6.3
40,200000000,"['animation', 'family', 'adventure', 'comedy']",49013,en,Cars 2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,49.98659,"['walt_disney_pictures', 'pixar_animation_studios']",['us'],2011-06-11,559852396,106.0,"['en', 'ja', 'it', 'fr']",Cars 2,5.8
41,200000000,"['adventure', 'action', 'thriller', 'science_fiction']",44912,en,Green Lantern,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",51.872839,"['de_line_pictures', 'warner_bros.', 'dc_entertainment']",['us'],2011-06-16,219851172,114.0,['en'],Green Lantern,5.1
42,200000000,"['animation', 'family', 'comedy']",10193,en,Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",59.995418,"['walt_disney_pictures', 'pixar_animation_studios']",['us'],2010-06-16,1066969703,103.0,"['en', 'es']",Toy Story 3,7.6
43,200000000,"['action', 'science_fiction', 'thriller']",534,en,Terminator Salvation,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",71.862892,"['columbia_pictures', 'the_halcyon_company', 'wonderland_sound_and_vision', 'warner_bros.']","['de', 'it', 'gb', 'us']",2009-05-20,371353001,115.0,"['en', 'it']",Terminator Salvation,5.9
44,190000000,['action'],168259,en,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,102.322217,"['universal_pictures', 'original_film', 'fuji_television_network', 'dentsu', 'one_race_films', 'china_film_co.', 'qu\\u00e9bec_production_services_tax_credit', 'media_rights_capital_(mrc)', 'abu_dhabi_film_commission', 'colorado_office_of_film,_television_&_media']","['jp', 'us']",2015-04-01,1506249360,137.0,['en'],Furious 7,7.3
45,200000000,"['action', 'drama', 'horror', 'science_fiction', 'thriller']",72190,en,World War Z,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",81.834855,"['paramount_pictures', 'gk_films', 'skydance_productions', 'hemisphere_media_capital', 'apparatus_productions', 'latina_pictures', '2dux\\u00b2']","['us', 'mt']",2013-06-20,531865000,116.0,['en'],World War Z,6.7
46,250000000,"['action', 'adventure', 'fantasy', 'science_fiction']",127585,en,X-Men: Days of Future Past,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,118.078691,"['twentieth_century_fox_film_corporation', ""donners'_company"", 'marvel_entertainment', 'bad_hat_harry_productions', 'tsg_entertainment', 'down_productions', 'revolution_sun_studios']","['gb', 'us']",2014-05-15,747862775,131.0,['en'],X-Men: Days of Future Past,7.5
47,190000000,"['action', 'adventure', 'science_fiction']",54138,en,Star Trek Into Darkness,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",78.291018,"['paramount_pictures', 'skydance_productions', 'bad_robot', 'kurtzman/orci']",['us'],2013-05-05,467365246,132.0,['en'],Star Trek Into Darkness,7.4
48,195000000,"['action', 'family', 'fantasy']",81005,en,Jack the Giant Slayer,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",43.349855,"['new_line_cinema', 'original_film', 'legendary_pictures', 'warner_bros.', 'big_kid_pictures', 'bad_hat_harry_productions']",['us'],2013-02-27,197687603,114.0,['en'],Jack the Giant Slayer,5.5
49,105000000,"['drama', 'romance']",64682,en,The Great Gatsby,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",61.196071,"['village_roadshow_pictures', 'bazmark_films', 'warner_bros.', 'a&e_television_networks', 'red_wagon_entertainment', 'spectrum_films']","['us', 'au']",2013-05-10,351040419,143.0,['en'],The Great Gatsby,7.3
50,150000000,"['adventure', 'fantasy', 'action', 'romance']",9543,en,Prince of Persia: The Sands of Time,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",62.169881,"['walt_disney_pictures', 'jerry_bruckheimer_films']",['us'],2010-05-19,335154643,116.0,['en'],Prince of Persia: The Sands of Time,6.2
51,180000000,"['action', 'science_fiction', 'adventure']",68726,en,Pacific Rim,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",56.523205,"['legendary_pictures', 'warner_bros.', 'disney_double_dare_you_(ddy)', 'indochina_productions']","['us', 'ca']",2013-07-11,407602906,131.0,['en'],Pacific Rim,6.7
52,195000000,"['action', 'science_fiction', 'adventure']",38356,en,Transformers: Dark of the Moon,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",28.529607,"['paramount_pictures', 'di_bonaventura_pictures', 'indochina_productions', 'hasbro_studios']",['us'],2011-06-28,1123746996,154.0,['en'],Transformers: Dark of the Moon,6.1
53,185000000,"['adventure', 'action']",217,en,Indiana Jones and the Kingdom of the Crystal Skull,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",75.674458,"['lucasfilm', 'paramount_pictures']",['us'],2008-05-21,786636033,122.0,"['en', 'de', 'ru']",Indiana Jones and the Kingdom of the Crystal Skull,5.7
